# CB0 = 2.100000
# t /s, C /M, C /M, C /M
1352.195, 0.0008, 0.0004, 0.0004
1352.270, 0.0005, 0.0004, 0.0002
1352.345, 0.0007, 0.0006, 0.0003
1352.420, 0.0007, 0.0004, 0.0004
1352.495, 0.0008, 0.0007, 0.0005
1352.570, 0.0005, 0.0005, 0.0004
1352.645, 0.0008, 0.0007, 0.0002
1352.720, 0.0004, 0.0009, 0.0004
1352.795, 0.0007, 0.0004, 0.0008
1352.870, 0.0004, 0.0004, 0.0003
1352.945, 0.0002, 0.0006, 0.0005
1353.020, 0.0006, 0.0005, 0.0003
1353.095, 0.0005, 0.0003, 0.0006
1353.170, 0.0004, 0.0010, 0.0006
1353.245, 0.0004, 0.0008, 0.0007
1353.320, 0.0006, 0.0007, 0.0005
1353.395, 0.0007, 0.0006, 0.0005
1353.470, 0.0006, 0.0008, 0.0005
1353.545, 0.0006, 0.0002, 0.0007
1353.620, 0.0008, 0.0004, 0.0005
1353.695, 0.0006, 0.0002, 0.0007
1353.770, 0.0007, 0.0005, 0.0004
1353.845, 0.0011, 0.0005, 0.0004
1353.920, 0.0002, 0.0006, 0.0008
1353.995, 0.0008, 0.0009, 0.0005
1354.070, 0.0005, 0.0006, 0.0007
1354.145, 0.0006, 0.0009, 0.0008
1354.220, 0.0001, 0.0004, 0.0006
1354.295, 0.0009, 0.0007, 0.0002
1354.370, 0.0003, 0.0003, 0.0009
1354.445, 0.0006, 0.0005, 0.0003
1354.520, 0.0006, 0.0006, 0.0004
1354.595, 0.0009, 0.0004, 0.0005
1354.670, 0.0005, 0.0005, 0.0005
1354.745, 0.0002, 0.0004, 0.0004
1354.820, 0.0006, 0.0005, 0.0006
1354.895, 0.0009, 0.0006, 0.0007
1354.970, 0.0011, 0.0008, 0.0006
1355.045, 0.0005, 0.0005, 0.0003
1355.120, 0.0002, 0.0010, 0.0007
1355.195, 0.0007, 0.0005, 0.0006
1355.270, 0.0006, 0.0007, 0.0007
1355.345, 0.0007, 0.0007, 0.0006
1355.420, 0.0010, 0.0006, 0.0007
1355.495, 0.0004, 0.0005, 0.0003
1355.570, 0.0004, 0.0004, 0.0005
1355.645, 0.0008, 0.0008, 0.0004
1355.720, 0.0004, 0.0004, 0.0006
1355.795, 0.0006, 0.0007, 0.0010
1355.870, 0.0005, 0.0005, 0.0007
1355.945, 0.0004, 0.0005, 0.0006
1356.020, 0.0009, 0.0003, 0.0004
1356.095, 0.0006, 0.0001, 0.0006
1356.170, 0.0009, 0.0004, 0.0007
1356.245, 0.0006, 0.0004, 0.0006
1356.320, 0.0004, 0.0004, 0.0006
1356.395, 0.0006, 0.0003, 0.0004
1356.470, 0.0008, 0.0005, 0.0004
1356.545, 0.0008, 0.0003, 0.0008
1356.620, 0.0004, 0.0003, 0.0006
1356.695, 0.0005, 0.0007, 0.0006
1356.770, 0.0003, 0.0005, 0.0006
1356.845, 0.0002, 0.0002, 0.0007
1356.920, 0.0009, 0.0002, 0.0005
1356.995, 0.0005, 0.0003, 0.0001
1357.070, 0.0006, 0.0003, 0.0004
1357.145, 0.0003, 0.0007, 0.0005
1357.220, 0.0005, 0.0004, 0.0003
1357.295, 0.0004, 0.0006, 0.0007
1357.370, 0.0006, 0.0005, 0.0004
1357.445, 0.0006, 0.0004, 0.0004
1357.520, 0.0006, 0.0008, 0.0003
1357.595, 0.0006, 0.0003, 0.0006
1357.670, 0.0009, 0.0003, 0.0008
1357.745, 0.0009, 0.0006, 0.0002
1357.820, 0.0007, 0.0002, 0.0001
1357.895, 0.0005, 0.0007, 0.0003
1357.970, 0.0005, 0.0010, 0.0003
1358.045, 0.0009, 0.0011, 0.0004
1358.120, 0.0003, 0.0006, 0.0003
1358.195, 0.0003, 0.0006, 0.0005
1358.270, 0.0003, 0.0003, 0.0005
1358.345, 0.0007, 0.0009, 0.0004
1358.420, 0.0008, 0.0004, 0.0004
1358.495, 0.0005, 0.0004, 0.0006
1358.570, 0.0004, 0.0009, 0.0004
1358.645, 0.0003, 0.0007, 0.0005
1358.720, 0.0002, 0.0006, 0.0004
1358.795, 0.0003, 0.0003, 0.0006
1358.870, 0.0007, 0.0006, 0.0008
1358.945, 0.0006, 0.0003, 0.0006
1359.020, 0.0005, 0.0005, 0.0002
1359.095, 0.0008, 0.0007, 0.0002
1359.170, 0.0004, 0.0008, 0.0007
1359.245, 0.0006, 0.0006, 0.0009
1359.320, 0.0004, 0.0011, 0.0007
1359.395, 0.0007, 0.0005, 0.0003
1359.470, 0.0007, 0.0004, 0.0003
1359.545, 0.0002, 0.0005, 0.0004
1359.620, 0.0008, 0.0005, 0.0007
1359.695, 0.0003, 0.0005, 0.0009
1359.770, 0.0004, 0.0006, 0.0001
1359.845, 0.0001, 0.0003, 0.0002
1359.920, 0.0007, 0.0007, 0.0007
1359.995, 0.0006, 0.0009, 0.0005
1360.070, 0.0006, 0.0001, 0.0002
1360.145, 0.0007, 0.0008, 0.0004
1360.220, 0.0008, 0.0004, 0.0001
1360.295, 0.0008, 0.0007, 0.0006
1360.370, 0.0006, 0.0004, 0.0002
1360.445, 0.0009, 0.0006, 0.0003
1360.520, 0.0007, 0.0002, 0.0002
1360.595, 0.0006, 0.0004, 0.0006
1360.670, 0.0006, 0.0004, 0.0006
1360.745, 0.0009, 0.0007, 0.0005
1360.820, 0.0004, 0.0005, 0.0007
1360.895, 0.0002, 0.0006, 0.0004
1360.970, 0.0006, 0.0007, 0.0006
1361.045, 0.0007, 0.0009, 0.0004
1361.120, 0.0002, 0.0008, 0.0006
1361.195, 0.0008, 0.0005, 0.0006
1361.270, 0.0002, 0.0006, 0.0005
1361.345, 0.0005, 0.0006, 0.0004
1361.420, 0.0004, 0.0009, 0.0008
1361.495, 0.0006, 0.0001, 0.0007
1361.570, 0.0009, 0.0006, 0.0005
1361.645, 0.0005, 0.0002, 0.0003
1361.720, 0.0005, 0.0007, 0.0007
1361.795, 0.0002, 0.0004, 0.0006
1361.870, 0.0003, 0.0000, 0.0007
1361.945, 0.0009, 0.0005, 0.0005
1362.020, 0.0006, 0.0005, 0.0004
1362.095, 0.0004, 0.0009, 0.0008
1362.170, 0.0006, 0.0007, 0.0004
1362.245, 0.0005, 0.0006, 0.0007
1362.320, 0.0007, 0.0009, 0.0006
1362.395, 0.0006, 0.0004, 0.0005
1362.470, 0.0005, 0.0005, 0.0008
1362.545, 0.0009, 0.0004, 0.0002
1362.620, 0.0003, 0.0005, 0.0006
1362.695, 0.0004, 0.0002, 0.0006
1362.770, 0.0007, 0.0006, 0.0006
1362.845, 0.0004, -0.0000, 0.0003
1362.920, 0.0006, 0.0006, 0.0004
1362.995, 0.0007, 0.0009, 0.0004
1363.070, 0.0003, 0.0004, 0.0008
1363.145, 0.0008, 0.0010, 0.0004
1363.220, 0.0005, 0.0007, 0.0006
1363.295, 0.0006, 0.0007, 0.0005
1363.370, 0.0006, 0.0004, 0.0001
1363.445, 0.0005, 0.0008, 0.0005
1363.520, 0.0004, 0.0003, 0.0003
1363.595, 0.0008, 0.0000, 0.0005
1363.670, 0.0006, 0.0005, 0.0002
1363.745, 0.0003, 0.0006, 0.0005
1363.820, 0.0005, 0.0007, 0.0007
1363.895, 0.0006, 0.0006, 0.0000
1363.970, 0.0004, 0.0003, 0.0008
1364.045, 0.0006, 0.0008, 0.0005
1364.120, 0.0006, 0.0002, 0.0007
1364.195, 0.0006, 0.0005, 0.0007
1364.270, 0.0004, 0.0007, 0.0005
1364.345, 0.0006, 0.0001, 0.0002
1364.420, 0.0005, 0.0009, 0.0008
1364.495, 0.0004, 0.0004, 0.0008
1364.570, 0.0007, 0.0007, 0.0004
1364.645, 0.0007, 0.0005, 0.0001
1364.720, 0.0005, 0.0007, 0.0007
1364.795, 0.0004, 0.0007, 0.0004
1364.870, 0.0003, 0.0003, 0.0005
1364.945, 0.0005, 0.0006, 0.0006
1365.020, 0.0007, 0.0007, 0.0007
1365.095, 0.0005, 0.0004, 0.0006
1365.170, 0.0004, 0.0003, 0.0004
1365.245, 0.0005, 0.0006, 0.0005
1365.320, 0.0002, 0.0004, 0.0004
1365.395, 0.0004, 0.0001, 0.0006
1365.470, 0.0008, 0.0003, 0.0003
1365.545, 0.0007, 0.0008, 0.0006
1365.620, 0.0010, 0.0002, 0.0005
1365.695, 0.0009, 0.0006, 0.0004
1365.770, 0.0007, 0.0004, 0.0003
1365.845, 0.0005, 0.0004, 0.0006
1365.920, 0.0005, 0.0006, 0.0001
1365.995, 0.0004, 0.0005, 0.0004
1366.070, 0.0008, 0.0009, 0.0004
1366.145, 0.0007, 0.0007, 0.0003
1366.220, 0.0006, 0.0004, 0.0004
1366.295, 0.0005, 0.0005, 0.0005
1366.370, 0.0007, 0.0006, 0.0006
1366.445, 0.0002, 0.0001, 0.0008
1366.520, 0.0008, 0.0004, 0.0003
1366.595, 0.0005, 0.0005, 0.0007
1366.670, 0.0007, 0.0007, 0.0004
1366.745, 0.0006, 0.0004, 0.0003
1366.820, 0.0010, 0.0005, 0.0005
1366.895, 0.0004, 0.0007, 0.0006
1366.970, 0.0005, 0.0004, 0.0006
1367.045, 0.0004, 0.0004, 0.0008
1367.120, 0.0007, 0.0002, 0.0005
1367.195, 0.0005, 0.0006, 0.0006
1367.270, 0.0004, 0.0007, 0.0007
1367.345, 0.0004, 0.0004, 0.0004
1367.421, 0.0003, 0.0007, 0.0008
1367.496, 0.0010, 0.0005, 0.0009
1367.571, 0.0004, 0.0004, 0.0003
1367.646, 0.0008, 0.0004, 0.0003
1367.721, 0.0004, 0.0007, 0.0004
1367.796, 0.0004, 0.0006, 0.0004
1367.871, 0.0004, 0.0005, 0.0005
1367.946, 0.0008, 0.0005, 0.0003
1368.021, 0.0004, 0.0006, 0.0004
1368.096, 0.0007, 0.0003, 0.0009
1368.171, 0.0008, 0.0006, 0.0005
1368.246, 0.0003, 0.0007, 0.0009
1368.321, 0.0004, 0.0008, 0.0004
1368.396, 0.0006, 0.0004, 0.0007
1368.471, 0.0006, 0.0007, 0.0009
1368.546, 0.0004, 0.0007, 0.0006
1368.621, 0.0003, 0.0007, 0.0007
1368.696, 0.0006, 0.0007, 0.0007
1368.771, 0.0006, 0.0006, 0.0006
1368.846, 0.0006, 0.0008, 0.0007
1368.921, 0.0007, 0.0006, 0.0005
1368.996, 0.0006, 0.0004, 0.0007
1369.071, 0.0005, 0.0007, 0.0010
1369.146, 0.0007, 0.0006, 0.0009
1369.221, 0.0006, 0.0003, 0.0007
1369.296, 0.0006, 0.0007, 0.0007
1369.371, 0.0003, 0.0008, 0.0006
1369.446, 0.0009, 0.0004, 0.0003
1369.521, 0.0008, 0.0001, 0.0009
1369.596, 0.0009, 0.0005, 0.0006
1369.671, 0.0006, 0.0005, 0.0004
1369.746, 0.0007, 0.0007, 0.0005
1369.821, 0.0003, 0.0008, 0.0008
1369.896, 0.0005, 0.0002, 0.0000
1369.971, 0.0003, 0.0001, 0.0006
1370.046, 0.0004, 0.0009, 0.0006
1370.121, 0.0003, 0.0003, 0.0004
1370.196, 0.0007, 0.0002, 0.0008
1370.271, 0.0004, 0.0003, 0.0006
1370.346, 0.0010, 0.0002, 0.0006
1370.421, 0.0008, 0.0008, 0.0004
1370.496, -0.0000, 0.0009, 0.0008
1370.571, 0.0004, 0.0004, 0.0005
1370.646, 0.0007, 0.0006, 0.0005
1370.721, 0.0008, 0.0004, 0.0006
1370.796, 0.0010, 0.0005, 0.0004
1370.871, 0.0011, 0.0006, 0.0005
1370.946, 0.0003, 0.0005, 0.0004
1371.021, 0.0002, 0.0008, 0.0004
1371.096, 0.0005, 0.0008, 0.0006
1371.171, 0.0005, 0.0008, 0.0005
1371.246, 0.0005, 0.0006, 0.0009
1371.321, 0.0008, 0.0002, 0.0005
1371.396, 0.0007, 0.0007, 0.0004
1371.471, 0.0008, 0.0005, 0.0005
1371.546, 0.0002, 0.0008, 0.0007
1371.621, 0.0005, 0.0008, 0.0006
1371.696, 0.0005, 0.0010, 0.0008
1371.771, 0.0007, 0.0005, 0.0005
1371.846, 0.0003, 0.0005, 0.0004
1371.921, 0.0002, -0.0001, 0.0005
1371.996, 0.0006, 0.0007, 0.0008
1372.071, 0.0007, 0.0006, 0.0008
1372.146, 0.0006, 0.0002, 0.0006
1372.221, 0.0006, 0.0004, 0.0007
1372.296, 0.0005, 0.0006, 0.0004
1372.371, 0.0007, 0.0005, 0.0004
1372.446, 0.0004, 0.0009, 0.0005
1372.521, 0.0000, 0.0001, 0.0009
1372.596, 0.0006, 0.0004, 0.0003
1372.671, 0.0006, 0.0004, 0.0005
1372.746, 0.0005, 0.0005, 0.0007
1372.821, 0.0006, 0.0003, 0.0004
1372.896, 0.0005, 0.0010, 0.0008
1372.971, 0.0004, 0.0005, 0.0011
1373.046, 0.0006, 0.0006, 0.0003
1373.121, 0.0007, 0.0008, 0.0006
1373.196, 0.0002, 0.0006, 0.0006
1373.271, 0.0007, 0.0005, 0.0005
1373.346, 0.0005, 0.0007, 0.0003
1373.421, 0.0006, 0.0005, 0.0006
1373.496, 0.0007, 0.0005, 0.0002
1373.571, 0.0004, 0.0008, 0.0005
1373.646, 0.0006, 0.0006, 0.0006
1373.721, 0.0005, 0.0008, 0.0004
1373.796, 0.0007, 0.0007, 0.0006
1373.871, 0.0008, 0.0005, 0.0003
1373.946, 0.0003, 0.0008, 0.0009
1374.021, 0.0003, 0.0004, 0.0005
1374.096, 0.0005, 0.0006, 0.0004
1374.171, 0.0004, 0.0009, 0.0004
1374.246, 0.0006, 0.0006, 0.0005
1374.321, 0.0006, 0.0007, 0.0006
1374.396, 0.0005, 0.0005, 0.0006
1374.471, 0.0007, 0.0003, 0.0001
1374.546, 0.0004, 0.0002, 0.0002
1374.621, 0.0006, 0.0008, 0.0006
1374.696, 0.0004, 0.0003, 0.0005
1374.771, 0.0011, 0.0004, 0.0006
1374.846, 0.0005, 0.0004, 0.0002
1374.921, 0.0002, 0.0007, 0.0004
1374.996, 0.0008, 0.0003, 0.0006
1375.071, 0.0006, 0.0002, 0.0008
1375.146, 0.0005, 0.0003, 0.0007
1375.221, 0.0006, 0.0007, 0.0008
1375.296, 0.0004, 0.0001, 0.0008
1375.371, 0.0006, 0.0006, 0.0003
1375.446, 0.0003, 0.0008, 0.0006
1375.521, 0.0006, 0.0003, 0.0006
1375.596, 0.0004, 0.0004, 0.0005
1375.671, 0.0003, 0.0003, 0.0008
1375.746, 0.0006, 0.0004, 0.0004
1375.821, 0.0003, 0.0007, 0.0006
1375.896, 0.0004, 0.0010, 0.0005
1375.971, 0.0006, 0.0004, 0.0008
1376.046, 0.0004, 0.0009, 0.0006
1376.121, 0.0005, 0.0005, 0.0004
1376.196, 0.0006, 0.0007, 0.0004
1376.271, 0.0004, 0.0008, 0.0002
1376.346, 0.0007, 0.0011, 0.0007
1376.421, 0.0008, 0.0004, 0.0006
1376.496, 0.0004, 0.0003, 0.0006
1376.571, 0.0007, 0.0005, 0.0003
1376.646, 0.0008, 0.0005, 0.0007
1376.721, 0.0005, 0.0005, 0.0004
1376.796, 0.0008, 0.0006, 0.0006
1376.871, 0.0006, 0.0005, 0.0009
1376.946, 0.0007, 0.0004, 0.0005
1377.021, 0.0004, 0.0003, 0.0005
1377.096, 0.0003, 0.0004, 0.0004
1377.171, 0.0004, 0.0004, 0.0007
1377.246, 0.0004, 0.0004, 0.0006
1377.321, 0.0005, 0.0007, 0.0008
1377.396, 0.0006, 0.0003, 0.0005
1377.471, 0.0007, 0.0007, 0.0003
1377.546, 0.0007, 0.0005, 0.0004
1377.621, 0.0003, 0.0005, 0.0005
1377.696, 0.0002, 0.0003, 0.0004
1377.771, 0.0007, 0.0004, 0.0009
1377.846, 0.0002, 0.0004, 0.0006
1377.921, 0.0005, 0.0001, 0.0005
1377.996, 0.0005, 0.0003, 0.0005
1378.071, 0.0006, 0.0007, 0.0006
1378.146, 0.0003, 0.0010, 0.0006
1378.221, 0.0005, 0.0006, 0.0002
1378.296, 0.0004, 0.0007, 0.0007
1378.371, 0.0006, 0.0004, 0.0005
1378.446, 0.0005, 0.0004, 0.0006
1378.521, 0.0004, 0.0007, 0.0005
1378.596, 0.0006, 0.0009, 0.0005
1378.671, 0.0005, 0.0006, 0.0004
1378.746, 0.0005, 0.0007, 0.0002
1378.821, 0.0006, 0.0004, 0.0003
1378.896, 0.0006, 0.0004, 0.0004
1378.971, 0.0005, -0.0001, 0.0003
1379.046, 0.0004, 0.0002, 0.0005
1379.121, 0.0005, 0.0001, 0.0003
1379.196, 0.0006, 0.0004, 0.0009
1379.271, 0.0004, 0.0005, 0.0004
1379.346, 0.0008, 0.0004, 0.0005
1379.421, 0.0005, 0.0005, 0.0002
1379.496, 0.0004, 0.0005, 0.0004
1379.571, 0.0005, 0.0005, 0.0008
1379.646, 0.0006, 0.0003, 0.0006
1379.721, 0.0005, 0.0001, 0.0005
1379.796, 0.0009, 0.0006, 0.0001
1379.871, 0.0005, 0.0005, 0.0006
1379.946, 0.0004, 0.0008, 0.0008
1380.021, 0.0006, 0.0009, 0.0006
1380.096, 0.0004, 0.0005, 0.0005
1380.171, 0.0002, 0.0008, 0.0006
1380.246, 0.0003, 0.0005, 0.0002
1380.321, 0.0004, 0.0006, 0.0007
1380.396, 0.0007, 0.0006, 0.0008
1380.471, 0.0004, 0.0005, 0.0008
1380.546, 0.0006, 0.0005, 0.0004
1380.621, 0.0004, 0.0006, 0.0005
1380.696, 0.0004, 0.0005, 0.0001
1380.771, 0.0005, 0.0006, 0.0010
1380.846, 0.0008, 0.0010, 0.0002
1380.921, 0.0011, 0.0005, 0.0006
1380.996, 0.0005, 0.0007, 0.0006
1381.071, 0.0008, 0.0003, 0.0002
1381.146, 0.0003, 0.0005, 0.0005
1381.221, 0.0009, 0.0006, 0.0004
1381.296, 0.0006, 0.0007, 0.0007
1381.371, 0.0006, 0.0003, 0.0005
1381.446, 0.0008, 0.0007, 0.0006
1381.521, 0.0006, 0.0004, 0.0006
1381.596, 0.0004, 0.0008, 0.0008
1381.671, 0.0008, 0.0006, 0.0003
1381.746, 0.0007, 0.0003, 0.0007
1381.821, 0.0004, 0.0008, 0.0008
1381.896, 0.0005, 0.0004, 0.0007
1381.971, 0.0006, 0.0004, 0.0005
1382.046, 0.0003, 0.0009, 0.0003
1382.121, 0.0004, 0.0006, 0.0005
1382.196, 0.0009, 0.0008, 0.0006
1382.271, 0.0007, 0.0005, 0.0004
1382.346, 0.0002, 0.0004, 0.0002
1382.421, 0.0004, 0.0004, 0.0003
1382.496, 0.0007, 0.0005, 0.0005
1382.571, 0.0007, 0.0006, 0.0005
1382.646, 0.0005, 0.0008, 0.0005
1382.721, 0.0007, 0.0004, 0.0009
1382.796, 0.0006, 0.0003, 0.0004
1382.871, 0.0007, 0.0006, 0.0004
1382.946, 0.0006, 0.0008, 0.0004
1383.021, 0.0006, 0.0005, 0.0007
1383.096, 0.0007, 0.0008, 0.0004
1383.171, 0.0007, 0.0011, 0.0006
1383.246, 0.0006, 0.0005, 0.0002
1383.321, 0.0009, 0.0004, 0.0007
1383.396, 0.0006, 0.0004, 0.0004
1383.471, 0.0005, 0.0005, 0.0007
1383.546, 0.0004, 0.0005, 0.0006
1383.621, 0.0007, 0.0006, 0.0007
1383.696, 0.0007, 0.0005, 0.0004
1383.771, 0.0005, 0.0007, 0.0004
1383.846, 0.0005, 0.0008, 0.0004
1383.921, 0.0006, 0.0008, 0.0003
1383.996, 0.0004, 0.0008, 0.0003
1384.071, 0.0007, 0.0004, 0.0003
1384.146, 0.0005, 0.0007, 0.0005
1384.221, 0.0004, 0.0003, 0.0009
1384.296, 0.0007, 0.0006, 0.0003
1384.371, 0.0007, 0.0005, 0.0003
1384.446, 0.0007, 0.0007, 0.0001
1384.521, 0.0005, 0.0001, 0.0005
1384.596, 0.0007, 0.0004, 0.0007
1384.671, 0.0005, 0.0003, 0.0001
1384.746, 0.0004, 0.0006, 0.0006
1384.821, 0.0003, 0.0007, 0.0003
1384.896, 0.0005, 0.0005, 0.0005
1384.971, 0.0008, 0.0006, 0.0007
1385.046, 0.0005, 0.0006, 0.0004
1385.121, 0.0006, 0.0009, 0.0005
1385.196, 0.0002, 0.0006, 0.0007
1385.271, 0.0005, 0.0011, 0.0008
1385.346, 0.0006, 0.0007, 0.0005
1385.421, 0.0004, 0.0007, 0.0005
1385.496, 0.0001, 0.0006, 0.0006
1385.571, 0.0006, 0.0005, 0.0006
1385.646, 0.0007, 0.0009, 0.0007
1385.721, 0.0008, 0.0008, 0.0008
1385.796, 0.0005, 0.0005, 0.0008
1385.871, 0.0005, 0.0007, 0.0004
1385.946, 0.0006, 0.0006, 0.0005
1386.021, 0.0004, 0.0010, 0.0002
1386.096, 0.0006, 0.0013, 0.0005
1386.171, 0.0008, 0.0008, 0.0004
1386.246, 0.0004, 0.0006, 0.0006
1386.321, 0.0008, 0.0002, 0.0005
1386.396, 0.0010, 0.0006, 0.0005
1386.471, 0.0008, 0.0005, 0.0007
1386.546, 0.0006, 0.0005, 0.0005
1386.621, 0.0004, 0.0006, 0.0010
1386.696, 0.0005, 0.0005, 0.0001
1386.771, 0.0006, 0.0006, 0.0005
1386.846, 0.0010, 0.0007, 0.0010
1386.921, 0.0007, 0.0005, 0.0003
1386.996, 0.0007, 0.0006, 0.0003
1387.071, 0.0001, -0.0000, 0.0005
1387.146, 0.0003, 0.0005, 0.0006
1387.221, 0.0010, 0.0007, 0.0009
1387.296, 0.0005, 0.0007, 0.0004
1387.371, 0.0006, 0.0007, 0.0006
1387.446, 0.0009, 0.0006, 0.0008
1387.521, 0.0003, 0.0007, 0.0005
1387.596, 0.0006, 0.0005, 0.0007
1387.671, 0.0007, 0.0005, 0.0006
1387.746, 0.0006, 0.0006, 0.0005
1387.821, 0.0006, 0.0005, 0.0004
1387.896, 0.0002, 0.0006, 0.0007
1387.971, 0.0010, 0.0006, 0.0007
1388.046, 0.0006, 0.0006, 0.0003
1388.121, 0.0004, 0.0008, 0.0005
1388.196, 0.0003, 0.0009, 0.0006
1388.271, 0.0008, 0.0006, 0.0004
1388.346, 0.0005, 0.0004, 0.0007
1388.421, 0.0002, 0.0003, 0.0007
1388.496, 0.0005, 0.0010, 0.0009
1388.571, 0.0005, 0.0003, 0.0005
1388.646, 0.0006, 0.0007, 0.0004
1388.721, 0.0004, 0.0001, 0.0006
1388.796, 0.0009, 0.0003, 0.0007
1388.871, 0.0006, 0.0005, 0.0007
1388.946, 0.0005, 0.0006, 0.0006
1389.021, 0.0005, 0.0007, 0.0006
1389.096, 0.0006, 0.0002, 0.0004
1389.171, 0.0005, -0.0001, 0.0006
1389.246, 0.0005, 0.0008, 0.0004
1389.321, 0.0003, 0.0005, 0.0005
1389.396, 0.0006, 0.0008, 0.0005
1389.471, 0.0006, 0.0006, 0.0007
1389.546, 0.0005, 0.0002, 0.0005
1389.621, 0.0008, 0.0008, 0.0005
1389.696, 0.0006, 0.0003, 0.0007
1389.771, 0.0004, 0.0007, 0.0006
1389.846, 0.0002, 0.0004, 0.0003
1389.921, 0.0007, 0.0005, 0.0004
1389.996, 0.0004, 0.0007, 0.0003
1390.071, 0.0005, 0.0005, 0.0009
1390.146, 0.0008, 0.0007, 0.0006
1390.221, 0.0005, 0.0004, 0.0006
1390.296, 0.0004, 0.0008, 0.0004
1390.371, 0.0005, 0.0011, 0.0008
1390.446, 0.0001, 0.0007, 0.0006
1390.521, 0.0008, 0.0005, 0.0004
1390.596, 0.0007, 0.0004, 0.0010
1390.671, 0.0005, 0.0004, 0.0006
1390.746, 0.0005, 0.0004, 0.0005
1390.821, 0.0008, 0.0006, 0.0005
1390.896, 0.0002, 0.0006, 0.0005
1390.971, 0.0003, 0.0003, -0.0000
1391.046, 0.0005, 0.0002, 0.0007
1391.121, 0.0003, 0.0005, 0.0004
1391.196, 0.0006, 0.0004, 0.0006
1391.271, 0.0002, 0.0002, 0.0006
1391.346, 0.0006, 0.0006, 0.0006
1391.421, 0.0006, 0.0005, 0.0005
1391.496, 0.0006, 0.0004, 0.0002
1391.571, 0.0003, 0.0008, 0.0005
1391.646, 0.0003, 0.0006, 0.0003
1391.721, 0.0004, 0.0005, 0.0006
1391.796, 0.0010, 0.0003, 0.0002
1391.871, 0.0009, 0.0005, 0.0002
1391.946, 0.0001, 0.0005, 0.0003
1392.021, 0.0002, 0.0006, 0.0009
1392.096, 0.0004, 0.0004, 0.0003
1392.171, 0.0005, 0.0005, 0.0006
1392.246, 0.0003, 0.0005, 0.0007
1392.321, 0.0005, 0.0002, 0.0005
1392.396, 0.0004, 0.0006, 0.0007
1392.471, 0.0003, 0.0004, 0.0008
1392.546, 0.0004, 0.0002, 0.0008
1392.621, 0.0004, 0.0008, 0.0004
1392.696, 0.0006, 0.0004, 0.0006
1392.771, 0.0003, 0.0005, 0.0007
1392.846, 0.0004, 0.0007, 0.0006
1392.921, 0.0007, 0.0007, 0.0007
1392.996, 0.0002, 0.0007, 0.0001
1393.071, 0.0003, 0.0007, 0.0006
1393.146, 0.0004, 0.0003, 0.0002
1393.221, 0.0005, 0.0004, 0.0004
1393.296, 0.0009, 0.0005, 0.0004
1393.371, 0.0002, 0.0012, 0.0005
1393.446, 0.0005, 0.0006, 0.0001
1393.521, 0.0001, 0.0004, 0.0005
1393.596, 0.0007, 0.0004, 0.0006
1393.671, 0.0005, 0.0004, 0.0005
1393.746, 0.0006, 0.0003, 0.0001
1393.821, 0.0005, 0.0009, 0.0006
1393.896, 0.0002, 0.0004, 0.0005
1393.971, 0.0007, 0.0008, 0.0009
1394.046, 0.0004, 0.0006, 0.0005
1394.121, 0.0004, 0.0008, 0.0008
1394.196, 0.0007, 0.0003, 0.0007
1394.271, 0.0002, 0.0003, 0.0007
1394.346, 0.0009, 0.0005, 0.0009
1394.421, 0.0005, 0.0004, 0.0005
1394.496, 0.0006, 0.0007, 0.0007
1394.571, 0.0006, 0.0003, 0.0003
1394.646, 0.0003, 0.0007, 0.0004
1394.721, 0.0004, 0.0004, 0.0008
1394.796, 0.0005, 0.0005, 0.0005
1394.871, 0.0005, 0.0008, 0.0002
1394.946, 0.0003, 0.0006, 0.0003
1395.021, 0.0010, 0.0005, 0.0004
1395.096, 0.0001, 0.0007, 0.0006
1395.171, 0.0006, 0.0003, 0.0002
1395.246, 0.0007, 0.0008, 0.0002
1395.321, 0.0006, 0.0003, 0.0003
1395.396, 0.0005, 0.0006, 0.0008
1395.471, 0.0005, 0.0006, 0.0005
1395.546, 0.0007, 0.0007, 0.0006
1395.621, 0.0008, 0.0007, 0.0005
1395.696, 0.0006, 0.0001, 0.0006
1395.771, 0.0003, 0.0007, 0.0004
1395.846, 0.0007, 0.0003, 0.0005
1395.921, 0.0002, 0.0005, 0.0002
1395.996, 0.0005, 0.0004, 0.0003
1396.071, 0.0011, 0.0008, 0.0005
1396.146, 0.0008, 0.0007, 0.0005
1396.221, 0.0005, 0.0003, 0.0005
1396.296, 0.0006, 0.0005, 0.0003
1396.371, 0.0006, 0.0006, 0.0005
1396.446, 0.0005, 0.0003, 0.0007
1396.521, 0.0002, 0.0003, 0.0005
1396.596, 0.0005, 0.0004, 0.0005
1396.671, 0.0003, 0.0005, 0.0007
1396.746, 0.0006, 0.0008, 0.0004
1396.821, 0.0006, 0.0007, 0.0008
1396.896, 0.0003, 0.0007, 0.0006
1396.971, 0.0009, 0.0004, 0.0005
1397.046, 0.0004, 0.0006, 0.0006
1397.121, 0.0004, 0.0004, 0.0007
1397.196, 0.0008, 0.0004, 0.0005
1397.271, 0.0006, 0.0006, 0.0003
1397.346, 0.0003, 0.0002, 0.0003
1397.421, 0.0004, 0.0007, 0.0003
1397.496, 0.0003, 0.0003, 0.0003
1397.571, 0.0003, 0.0004, 0.0004
1397.646, 0.0005, 0.0005, 0.0004
